"etuus";"vuosi";"aikatyyppi";"viikko";"paiva";"viikonpaiva";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-28";"perjantai";"Koko Suomi";"kaikki";"kaikki";"851";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-29";"lauantai";"Koko Suomi";"kaikki";"kaikki";"419";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"4";"2022-01-30";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"381";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-23";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1140";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-24";"tiistai";"Koko Suomi";"kaikki";"kaikki";"990";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-25";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1133";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-26";"torstai";"Koko Suomi";"kaikki";"kaikki";"982";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-27";"perjantai";"Koko Suomi";"kaikki";"kaikki";"946";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-28";"lauantai";"Koko Suomi";"kaikki";"kaikki";"285";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"4";"2023-01-29";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"409";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-01-27";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1544";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-01-28";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1306";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-01-29";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1351";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-01-30";"torstai";"Koko Suomi";"kaikki";"kaikki";"1150";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-01-31";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1217";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-02-01";"lauantai";"Koko Suomi";"kaikki";"kaikki";"1861";"2023/11/20 12:10:23"
"Työttömyysturva";"2020";"paiva";"5";"2020-02-02";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"429";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-01";"maanantai";"Koko Suomi";"kaikki";"kaikki";"2066";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-02";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1291";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-03";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1233";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-04";"torstai";"Koko Suomi";"kaikki";"kaikki";"1063";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-05";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1002";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-06";"lauantai";"Koko Suomi";"kaikki";"kaikki";"210";"2023/11/20 12:10:23"
"Työttömyysturva";"2021";"paiva";"5";"2021-02-07";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"310";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-01-31";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1833";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-01";"tiistai";"Koko Suomi";"kaikki";"kaikki";"2456";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-02";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"1437";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-03";"torstai";"Koko Suomi";"kaikki";"kaikki";"1186";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-04";"perjantai";"Koko Suomi";"kaikki";"kaikki";"895";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-05";"lauantai";"Koko Suomi";"kaikki";"kaikki";"170";"2023/11/20 12:10:23"
"Työttömyysturva";"2022";"paiva";"5";"2022-02-06";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"561";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-01-30";"maanantai";"Koko Suomi";"kaikki";"kaikki";"1384";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-01-31";"tiistai";"Koko Suomi";"kaikki";"kaikki";"1239";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-02-01";"keskiviikko";"Koko Suomi";"kaikki";"kaikki";"2242";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-02-02";"torstai";"Koko Suomi";"kaikki";"kaikki";"1278";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-02-03";"perjantai";"Koko Suomi";"kaikki";"kaikki";"1134";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-02-04";"lauantai";"Koko Suomi";"kaikki";"kaikki";"166";"2023/11/20 12:10:23"
"Työttömyysturva";"2023";"paiva";"5";"2023-02-05";"sunnuntai";"Koko Suomi";"kaikki";"kaikki";"263";"2023/11/20 12:10:23"
