"etuus";"vuosi";"aikatyyppi";"viikko";"alue";"ikaluokka";"sukupuoli";"saapuneet_hakemukset";"updated"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"18-24";"miehet";"1313";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"25-34";"miehet";"1313";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"35-44";"miehet";"801";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"45-54";"miehet";"568";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"yli 54";"miehet";"458";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"18-24";"miehet";"1154";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"25-34";"miehet";"1154";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"35-44";"miehet";"758";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"45-54";"miehet";"527";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"yli 54";"miehet";"406";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"18-24";"miehet";"1087";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"25-34";"miehet";"1087";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"35-44";"miehet";"671";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"45-54";"miehet";"495";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"yli 54";"miehet";"385";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"18-24";"miehet";"959";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"25-34";"miehet";"959";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"35-44";"miehet";"666";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"45-54";"miehet";"446";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"yli 54";"miehet";"394";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"18-24";"naiset";"1262";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"25-34";"naiset";"1262";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"35-44";"naiset";"937";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"45-54";"naiset";"740";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"3";"Koko Suomi";"yli 54";"naiset";"518";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"18-24";"naiset";"1097";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"25-34";"naiset";"1097";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"35-44";"naiset";"829";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"45-54";"naiset";"591";"2023/12/19 12:10:43"
"Työttömyysturva";"2020";"viikko";"3";"Koko Suomi";"yli 54";"naiset";"423";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"18-24";"naiset";"1222";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"25-34";"naiset";"1222";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"35-44";"naiset";"813";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"45-54";"naiset";"567";"2023/12/19 12:10:43"
"Työttömyysturva";"2021";"viikko";"3";"Koko Suomi";"yli 54";"naiset";"391";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"18-24";"naiset";"1050";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"25-34";"naiset";"1050";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"35-44";"naiset";"690";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"45-54";"naiset";"507";"2023/12/19 12:10:43"
"Työttömyysturva";"2022";"viikko";"3";"Koko Suomi";"yli 54";"naiset";"357";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"18-24";"naiset";"933";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"25-34";"naiset";"933";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"35-44";"naiset";"687";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"45-54";"naiset";"449";"2023/12/19 12:10:43"
"Työttömyysturva";"2023";"viikko";"3";"Koko Suomi";"yli 54";"naiset";"341";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"4";"Koko Suomi";"18-24";"kaikki";"2441";"2023/12/19 12:10:43"
"Työttömyysturva";"2019";"viikko";"4";"Koko Suomi";"25-34";"kaikki";"2441";"2023/12/19 12:10:43"
