alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Etelä-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;215;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4185;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;2916;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;354;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;240;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4544;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;3078;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;235;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;191;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4327;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;3029;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;131;Saajat
Kainuu;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;109;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;1962;Saajat
Kainuu;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;1419;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;328;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;259;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;6352;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;4258;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;113;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;86;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;1404;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;965;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;499;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;376;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;10905;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;7525;Saajakotitaloudet
