etuus;vuosi;kuukausi;paiva;alue;variable;val
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Karjala;"aiemmin tukea 
saaneet ruokakunnat";7782
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Pohjanmaa;uudet saajaruokakunnat;161
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";7221
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Savo;uudet saajaruokakunnat;160
Yleinen asumistuki;2019;8;2019-08-01;Etelä-Savo;"aiemmin tukea 
saaneet ruokakunnat";6849
Yleinen asumistuki;2019;8;2019-08-01;Kainuu;uudet saajaruokakunnat;101
Yleinen asumistuki;2019;8;2019-08-01;Kainuu;"aiemmin tukea 
saaneet ruokakunnat";3528
Yleinen asumistuki;2019;8;2019-08-01;Kanta-Häme;uudet saajaruokakunnat;179
Yleinen asumistuki;2019;8;2019-08-01;Kanta-Häme;"aiemmin tukea 
saaneet ruokakunnat";8064
Yleinen asumistuki;2019;8;2019-08-01;Keski-Pohjanmaa;uudet saajaruokakunnat;81
Yleinen asumistuki;2019;8;2019-08-01;Keski-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";2486
Yleinen asumistuki;2019;8;2019-08-01;Keski-Suomi;uudet saajaruokakunnat;574
Yleinen asumistuki;2019;8;2019-08-01;Keski-Suomi;"aiemmin tukea 
saaneet ruokakunnat";20680
Yleinen asumistuki;2019;8;2019-08-01;Kymenlaakso;uudet saajaruokakunnat;166
Yleinen asumistuki;2019;8;2019-08-01;Kymenlaakso;"aiemmin tukea 
saaneet ruokakunnat";9132
Yleinen asumistuki;2019;8;2019-08-01;Lappi;uudet saajaruokakunnat;255
Yleinen asumistuki;2019;8;2019-08-01;Lappi;"aiemmin tukea 
saaneet ruokakunnat";9089
Yleinen asumistuki;2019;8;2019-08-01;Pirkanmaa;uudet saajaruokakunnat;881
Yleinen asumistuki;2019;8;2019-08-01;Pirkanmaa;"aiemmin tukea 
saaneet ruokakunnat";36040
Yleinen asumistuki;2019;8;2019-08-01;Pohjanmaa;uudet saajaruokakunnat;216
Yleinen asumistuki;2019;8;2019-08-01;Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";8341
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Karjala;uudet saajaruokakunnat;300
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Karjala;"aiemmin tukea 
saaneet ruokakunnat";11875
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Pohjanmaa;uudet saajaruokakunnat;651
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Pohjanmaa;"aiemmin tukea 
saaneet ruokakunnat";24847
Yleinen asumistuki;2019;8;2019-08-01;Pohjois-Savo;uudet saajaruokakunnat;451
