etuus;vuosi;aikatyyppi;viikko;paiva;viikonpaiva;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;paiva;14;2020-04-04;lauantai;Koko Suomi;kaikki;kaikki;1529;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;14;2020-04-05;sunnuntai;Koko Suomi;kaikki;kaikki;1427;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-05;maanantai;Koko Suomi;kaikki;kaikki;411;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-06;tiistai;Koko Suomi;kaikki;kaikki;1026;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-07;keskiviikko;Koko Suomi;kaikki;kaikki;1396;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-08;torstai;Koko Suomi;kaikki;kaikki;1194;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-09;perjantai;Koko Suomi;kaikki;kaikki;1046;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-10;lauantai;Koko Suomi;kaikki;kaikki;232;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;14;2021-04-11;sunnuntai;Koko Suomi;kaikki;kaikki;246;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-06;maanantai;Koko Suomi;kaikki;kaikki;5299;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-07;tiistai;Koko Suomi;kaikki;kaikki;4885;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-08;keskiviikko;Koko Suomi;kaikki;kaikki;4788;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-09;torstai;Koko Suomi;kaikki;kaikki;3669;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-10;perjantai;Koko Suomi;kaikki;kaikki;1261;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-11;lauantai;Koko Suomi;kaikki;kaikki;847;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;15;2020-04-12;sunnuntai;Koko Suomi;kaikki;kaikki;1182;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-12;maanantai;Koko Suomi;kaikki;kaikki;1073;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-13;tiistai;Koko Suomi;kaikki;kaikki;905;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-14;keskiviikko;Koko Suomi;kaikki;kaikki;1059;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-15;torstai;Koko Suomi;kaikki;kaikki;977;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-16;perjantai;Koko Suomi;kaikki;kaikki;818;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-17;lauantai;Koko Suomi;kaikki;kaikki;145;2021/07/13 10:02:58
Työttömyysturva;2021;paiva;15;2021-04-18;sunnuntai;Koko Suomi;kaikki;kaikki;221;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;16;2020-04-13;maanantai;Koko Suomi;kaikki;kaikki;2359;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;16;2020-04-14;tiistai;Koko Suomi;kaikki;kaikki;5224;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;16;2020-04-15;keskiviikko;Koko Suomi;kaikki;kaikki;4750;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;16;2020-04-16;torstai;Koko Suomi;kaikki;kaikki;2972;2021/07/13 10:02:58
Työttömyysturva;2020;paiva;16;2020-04-17;perjantai;Koko Suomi;kaikki;kaikki;2139;2021/07/13 10:02:58
