etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2019;viikko;6;Koko Suomi;alle 25;miehet;969;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;25-34;miehet;1101;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;35-44;miehet;706;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;45-54;miehet;700;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;yli 54;miehet;486;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;alle 25;miehet;918;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;25-34;miehet;1054;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;35-44;miehet;696;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;45-54;miehet;547;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;yli 54;miehet;402;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;alle 25;miehet;947;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;25-34;miehet;1071;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;35-44;miehet;688;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;45-54;miehet;516;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;yli 54;miehet;366;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;alle 25;naiset;798;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;25-34;naiset;1041;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;35-44;naiset;767;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;45-54;naiset;690;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;6;Koko Suomi;yli 54;naiset;513;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;alle 25;naiset;695;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;25-34;naiset;902;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;35-44;naiset;689;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;45-54;naiset;543;2021/03/02 12:03:58
Työttömyysturva;2020;viikko;6;Koko Suomi;yli 54;naiset;406;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;alle 25;naiset;873;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;25-34;naiset;1038;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;35-44;naiset;745;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;45-54;naiset;532;2021/03/02 12:03:58
Työttömyysturva;2021;viikko;6;Koko Suomi;yli 54;naiset;393;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;7;Koko Suomi;alle 25;kaikki;1534;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;7;Koko Suomi;25-34;kaikki;1780;2021/03/02 12:03:58
Työttömyysturva;2019;viikko;7;Koko Suomi;35-44;kaikki;1142;2021/03/02 12:03:58
