etuus;vuosi;aikatyyppi;viikko;alue;ikaluokka;sukupuoli;saapuneet_hakemukset;updated
Työttömyysturva;2020;viikko;4;Kainuu;kaikki;kaikki;105;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Kanta-Häme;kaikki;kaikki;169;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Keski-Pohjanmaa;kaikki;kaikki;84;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Keski-Suomi;kaikki;kaikki;527;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Kymenlaakso;kaikki;kaikki;167;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Lappi;kaikki;kaikki;251;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Pirkanmaa;kaikki;kaikki;655;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Pohjanmaa;kaikki;kaikki;176;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Pohjois-Karjala;kaikki;kaikki;330;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Pohjois-Pohjanmaa;kaikki;kaikki;534;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Pohjois-Savo;kaikki;kaikki;418;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Päijät-Häme;kaikki;kaikki;283;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Satakunta;kaikki;kaikki;247;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Uusimaa;kaikki;kaikki;2156;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;4;Varsinais-Suomi;kaikki;kaikki;654;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Etelä-Karjala;kaikki;kaikki;127;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Etelä-Pohjanmaa;kaikki;kaikki;204;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Etelä-Savo;kaikki;kaikki;170;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Kainuu;kaikki;kaikki;116;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Kanta-Häme;kaikki;kaikki;200;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Keski-Pohjanmaa;kaikki;kaikki;94;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Keski-Suomi;kaikki;kaikki;377;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Kymenlaakso;kaikki;kaikki;158;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Lappi;kaikki;kaikki;237;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Pirkanmaa;kaikki;kaikki;771;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Pohjanmaa;kaikki;kaikki;220;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Pohjois-Karjala;kaikki;kaikki;195;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Pohjois-Pohjanmaa;kaikki;kaikki;631;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Pohjois-Savo;kaikki;kaikki;329;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Päijät-Häme;kaikki;kaikki;199;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Satakunta;kaikki;kaikki;287;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Uusimaa;kaikki;kaikki;2079;2021/07/01 10:04:09
Työttömyysturva;2021;viikko;4;Varsinais-Suomi;kaikki;kaikki;800;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Etelä-Karjala;kaikki;kaikki;243;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Etelä-Pohjanmaa;kaikki;kaikki;332;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Etelä-Savo;kaikki;kaikki;220;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Kainuu;kaikki;kaikki;160;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Kanta-Häme;kaikki;kaikki;348;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Keski-Pohjanmaa;kaikki;kaikki;138;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Keski-Suomi;kaikki;kaikki;490;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Kymenlaakso;kaikki;kaikki;273;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Lappi;kaikki;kaikki;398;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Pirkanmaa;kaikki;kaikki;1245;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Pohjanmaa;kaikki;kaikki;327;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Pohjois-Karjala;kaikki;kaikki;323;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Pohjois-Pohjanmaa;kaikki;kaikki;964;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Pohjois-Savo;kaikki;kaikki;405;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Päijät-Häme;kaikki;kaikki;411;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Satakunta;kaikki;kaikki;447;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Uusimaa;kaikki;kaikki;2966;2021/07/01 10:04:09
Työttömyysturva;2019;viikko;5;Varsinais-Suomi;kaikki;kaikki;1065;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Etelä-Karjala;kaikki;kaikki;232;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Etelä-Pohjanmaa;kaikki;kaikki;273;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Etelä-Savo;kaikki;kaikki;266;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Kainuu;kaikki;kaikki;100;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Kanta-Häme;kaikki;kaikki;283;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Keski-Pohjanmaa;kaikki;kaikki;72;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Keski-Suomi;kaikki;kaikki;555;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Kymenlaakso;kaikki;kaikki;257;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Lappi;kaikki;kaikki;263;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Pirkanmaa;kaikki;kaikki;1047;2021/07/01 10:04:09
Työttömyysturva;2020;viikko;5;Pohjanmaa;kaikki;kaikki;182;2021/07/01 10:04:09
