"toimenpideluokka";"alue";"korvatut_testit_lkm";"viikko";"vuosi";"aikatyyppi";"updated";"paiva"
"Nukleiinihappotutkimus";"Koko Suomi";"8610";"16";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-18"
"Nukleiinihappotutkimus";"Koko Suomi";"102";"16";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-17"
"Nukleiinihappotutkimus";"Koko Suomi";"6725";"17";"2021";"viikko";"2023/12/26 16:37:42";"2021-04-26"
"Nukleiinihappotutkimus";"Koko Suomi";"15257";"17";"2022";"viikko";"2023/12/26 16:37:42";"2022-04-25"
"Nukleiinihappotutkimus";"Koko Suomi";"360";"17";"2023";"viikko";"2023/12/26 16:37:42";"2023-04-24"
"Nukleiinihappotutkimus";"Koko Suomi";"5";"18";"2020";"viikko";"2023/12/26 16:37:42";"2020-05-04"
"Nukleiinihappotutkimus";"Koko Suomi";"5012";"18";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-03"
"Nukleiinihappotutkimus";"Koko Suomi";"14228";"18";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-02"
"Nukleiinihappotutkimus";"Koko Suomi";"122";"18";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-01"
"Nukleiinihappotutkimus";"Koko Suomi";"59";"19";"2020";"viikko";"2023/12/26 16:37:42";"2020-05-11"
"Nukleiinihappotutkimus";"Koko Suomi";"8448";"19";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-10"
"Nukleiinihappotutkimus";"Koko Suomi";"17002";"19";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-09"
"Nukleiinihappotutkimus";"Koko Suomi";"254";"19";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-08"
"Nukleiinihappotutkimus";"Koko Suomi";"180";"20";"2020";"viikko";"2023/12/26 16:37:42";"2020-05-18"
"Nukleiinihappotutkimus";"Koko Suomi";"9401";"20";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-17"
"Nukleiinihappotutkimus";"Koko Suomi";"9693";"20";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-16"
"Nukleiinihappotutkimus";"Koko Suomi";"52";"20";"2023";"viikko";"2023/12/26 16:37:42";"2023-05-15"
"Nukleiinihappotutkimus";"Koko Suomi";"179";"21";"2020";"viikko";"2023/12/26 16:37:42";"2020-05-25"
"Nukleiinihappotutkimus";"Koko Suomi";"6020";"21";"2021";"viikko";"2023/12/26 16:37:42";"2021-05-24"
"Nukleiinihappotutkimus";"Koko Suomi";"4435";"21";"2022";"viikko";"2023/12/26 16:37:42";"2022-05-23"
