tyyppi,vuosi,aikatyyppi,kuukausi,viikko,paiva,viikonpaiva,alue,aluetaso,palvelukanava,saatavuusaika_ka,hakemukset_sahkoiset_osuus,puhelinpalvelun_vastausprosentti,puhelinpalvelun_jonotusajan_keskiarvo_min,updated
verkkohakemusten osuus,2020,kuukausi,8,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,58.3,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,9,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,54.7,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,10,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,72.5,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,11,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,38.6,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2020,kuukausi,12,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,57,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2021,kuukausi,1,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,54.4,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2021,kuukausi,2,NA,NA,NA,Brändö,kunta,verkkopalvelu,NA,68.6,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,1,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,32.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,2,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,26.8,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,3,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,26.7,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,4,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,40.8,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,5,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,22.9,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,6,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,27.7,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,7,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,22.1,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,8,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,22.6,NA,NA,2021-03-26 10:04:31
verkkohakemusten osuus,2019,kuukausi,9,NA,NA,NA,Eckerö,kunta,verkkopalvelu,NA,27.6,NA,NA,2021-03-26 10:04:31
